iter	RMSE
0	10397.69263
1	10073.28489
2	9799.542256
3	9556.203587
4	9352.883627
5	9168.228897
6	9007.326118
7	8871.009684
8	8724.055595
9	8617.970483
10	8517.504956
11	8427.057092
12	8349.333701
13	8242.58187
14	8155.029834
15	8093.85454
16	8037.707124
17	7971.898565
18	7918.186102
19	7875.515616
20	7826.48584
21	7763.232772
22	7732.506719
23	7673.520472
24	7621.712437
25	7597.21093
26	7557.792847
27	7514.516297
28	7479.443937
29	7431.145275
30	7387.48711
31	7343.479881
32	7329.21067
33	7293.719027
34	7272.704071
35	7255.261335
36	7215.260669
37	7180.276646
38	7159.975697
39	7115.269684
40	7092.907293
41	7069.009689
42	7043.883508
43	7016.645864
44	7002.673448
45	6969.871041
46	6942.785819
47	6927.518643
48	6901.698308
49	6866.183663
50	6839.781547
51	6807.578319
52	6782.014578
53	6767.862363
54	6734.949836
55	6719.237448
56	6685.829816
57	6673.511458
58	6660.345471
59	6628.250484
60	6614.340833
61	6605.969914
62	6595.906424
63	6573.881984
64	6552.653614
65	6541.912061
66	6530.270989
67	6507.980133
68	6486.549703
69	6478.071402
70	6470.972752
71	6461.455291
72	6446.125866
73	6430.376388
74	6420.806615
75	6415.027417
76	6398.45927
77	6386.188465
78	6361.540687
79	6354.704675
80	6338.237998
81	6319.648438
82	6306.581649
83	6300.298101
84	6278.014513
85	6262.820628
86	6260.385717
87	6239.772108
88	6227.612664
89	6216.400679
90	6197.499632
91	6194.355449
92	6182.698022
93	6169.41867
94	6164.180172
95	6143.639226
96	6127.929915
97	6124.882138
98	6122.667032
99	6115.565976
100	6098.548343
101	6082.675327
102	6068.454582
103	6061.522201
104	6041.641255
105	6021.675182
106	6013.971656
107	6006.954316
108	5990.722332
109	5983.292361
110	5967.570068
111	5959.986061
112	5944.73705
113	5935.984345
114	5925.061914
115	5923.548942
116	5907.468675
117	5894.149492
118	5879.79497
119	5870.695335
120	5865.254793
121	5860.264868
122	5852.341943
123	5847.980031
124	5838.196552
125	5828.054655
126	5801.362673
127	5793.029382
128	5785.23092
129	5760.628815
130	5755.246078
131	5736.085586
132	5726.419834
133	5718.907832
134	5714.196479
135	5710.553301
136	5704.359761
137	5689.708596
138	5677.877847
139	5667.205662
140	5655.443976
141	5645.498335
142	5634.210517
143	5626.821117
144	5620.917348
145	5616.512255
146	5608.02547
147	5598.456653
148	5586.593239
149	5573.185096
150	5568.394113
151	5558.94365
152	5555.096621
153	5551.328914
154	5545.542338
155	5537.687371
156	5521.057234
157	5513.918256
158	5510.389203
159	5503.767765
160	5494.361744
161	5491.118756
162	5480.004931
163	5472.211303
164	5468.59231
165	5460.173432
166	5453.473236
167	5450.238163
168	5440.018332
169	5433.443712
170	5425.523866
171	5416.726732
172	5406.053874
173	5400.699544
174	5394.342827
175	5381.822858
176	5366.064484
177	5362.040162
178	5353.63324
179	5348.340428
180	5344.161133
181	5338.742978
182	5322.947006
183	5313.855556
184	5307.793568
185	5303.313223
186	5296.320298
187	5290.801403
188	5284.952715
189	5281.272237
190	5276.972825
191	5271.043325
192	5268.243946
193	5263.047046
194	5260.577212
195	5254.752795
196	5247.726531
197	5244.028049
198	5242.222734
199	5239.942394
200	5232.094138
201	5223.32245
202	5218.547882
203	5208.477503
204	5207.087259
205	5200.176489
206	5196.401094
207	5188.12521
208	5184.746513
209	5174.709764
210	5162.652099
211	5159.755805
212	5150.749924
213	5149.346748
214	5145.959166
215	5144.364025
216	5139.739802
217	5134.829844
218	5128.02542
219	5123.739872
220	5114.565372
221	5109.44161
222	5104.244269
223	5100.488388
224	5096.414879
225	5093.115367
226	5086.561468
227	5079.619603
228	5075.477494
229	5072.437508
230	5071.078853
231	5062.350607
232	5056.686281
233	5052.433749
234	5044.677745
235	5040.842735
236	5037.285231
237	5033.986951
238	5030.278684
239	5027.422332
240	5022.425741
241	5017.599559
242	5013.826258
243	5008.049494
244	5006.943948
245	5003.382665
246	4993.482032
247	4989.14074
248	4983.871297
249	4979.778592
250	4974.108175
251	4972.031936
252	4968.488913
253	4965.590951
254	4963.17534
255	4958.451859
256	4955.347379
