iter	Passed	Remaining
0	267	266767
1	327	163647
2	391	130246
3	452	112698
4	516	102725
5	573	94982
6	636	90225
7	694	86167
8	755	83176
9	830	82254
10	899	80896
11	964	79369
12	1024	77808
13	1082	76245
14	1145	75232
15	1201	73910
16	1274	73718
17	1339	73056
18	1394	71985
19	1452	71183
20	1512	70513
21	1570	69827
22	1624	68991
23	1686	68575
24	1752	68350
25	1805	67652
26	1870	67389
27	1927	66917
28	1987	66562
29	2043	66060
30	2106	65831
31	2168	65603
32	2226	65238
33	2288	65018
34	2346	64704
35	2398	64230
36	2455	63909
37	2524	63905
38	2583	63655
39	2660	63861
40	2731	63879
41	2795	63761
42	2859	63643
43	2924	63552
44	2985	63357
45	3041	63069
46	3103	62938
47	3163	62751
48	3220	62511
49	3287	62455
50	3344	62227
51	3405	62093
52	3464	61911
53	3522	61711
54	3585	61612
55	3636	61295
56	3700	61228
57	3761	61090
58	3811	60793
59	3869	60623
60	3928	60470
61	3975	60145
62	4032	59971
63	4094	59888
64	4152	59739
65	4215	59652
66	4273	59513
67	4334	59404
68	4394	59287
69	4455	59200
70	4502	58918
71	4561	58795
72	4623	58713
73	4683	58611
74	4737	58428
75	4795	58307
76	4860	58259
77	4919	58149
78	4983	58096
79	5046	58032
80	5101	57883
81	5165	57824
82	5228	57764
83	5280	57586
84	5339	57480
85	5395	57347
86	5449	57192
87	5512	57131
88	5574	57064
89	5630	56934
90	5693	56869
91	5751	56769
92	5811	56673
93	5874	56622
94	5922	56416
95	5996	56463
96	6060	56414
97	6128	56407
98	6189	56330
99	6245	56212
100	6311	56176
101	6367	56062
102	6432	56017
103	6485	55874
104	6547	55811
105	6609	55744
106	6668	55652
107	6723	55534
108	6788	55490
109	6841	55352
110	6905	55304
111	6962	55201
112	7020	55107
113	7077	55003
114	7136	54923
115	7202	54884
116	7264	54823
117	7343	54886
118	7406	54834
119	7467	54763
120	7521	54642
121	7576	54528
122	7637	54452
123	7690	54331
124	7752	54268
125	7808	54163
126	7875	54133
127	7934	54052
128	7989	53944
129	8056	53917
130	8105	53770
131	8171	53732
132	8234	53677
133	8290	53578
134	8352	53517
135	8400	53365
136	8463	53311
137	8529	53276
138	8596	53247
139	8661	53205
140	8733	53205
141	8792	53123
142	8856	53079
143	8915	52997
144	8978	52939
145	9033	52842
146	9095	52780
147	9160	52734
148	9221	52665
149	9284	52611
150	9339	52510
151	9397	52425
152	9457	52355
153	9515	52274
154	9575	52201
155	9633	52119
156	9700	52088
157	9759	52008
158	9815	51918
159	9874	51838
160	9937	51787
161	9997	51717
162	10077	51750
163	10136	51672
164	10196	51599
165	10253	51516
166	10314	51447
167	10370	51359
168	10428	51276
169	10485	51192
